cust_id,°¡°ø½ÄÇ°,°¡°ø½ÄÇ°2,³²¼ºÆÐ¼Ç,³²¼ºÆÐ¼Ç2,¸®ºù,¸®ºù2,¸®ºùÄÁÅÙÃ÷,¸®ºùÄÁÅÙÃ÷2,½ºÆ÷Ã÷ÆÀ,½ºÆ÷Ã÷ÆÀ2,½Å¼±½ÄÇ°,½Å¼±½ÄÇ°2,¾Æµ¿/Å×³ÍÆ®,¾Æµ¿/Å×³ÍÆ®2,¿©¼ºÆÐ¼Ç,¿©¼ºÆÐ¼Ç2,¿µÆÐ¼Ç,¿µÆÐ¼Ç2,¿ÍÄ¡ÁÖ¾ó¸®ÆÀ,¿ÍÄ¡ÁÖ¾ó¸®ÆÀ2,ÇØ¿Ü¸íÇ°ÆÀ,ÇØ¿Ü¸íÇ°ÆÀ2,"ÇØ¿ÜºäÆ¼,ACCÆÀ","ÇØ¿ÜºäÆ¼,ACCÆÀ2",F&B,F&B2,¸ÅÃâÇÕ°è
100003871,58,"5,868",23,"11,893",62,"35,483",3,578,53,"18,307",51,"7,092",22,"9,443",85,"29,855",13,"1,331",13,"41,102",86,"111,769",61,"12,120",235,"6,820","291,660"
100004913,2,528,,,35,"49,518",1,260,8,"1,879",3,658,,,7,"3,470",1,305,4,"70,960",18,"32,733",5,"1,240",57,"1,859","163,409"
100100021,35,"2,981",2,"2,317",12,"15,182",,,3,"1,583",30,"3,796",3,617,15,"32,298",2,536,10,"115,000",129,"448,939",25,"27,011",50,"2,147","652,408"
100120364,20,"1,783",,,2,146,,,1,409,9,451,5,"6,533",8,"3,966",,,,,14,"106,365",14,"-10,133",41,"1,584","111,103"
100249228,137,"14,949",13,"8,779",42,"11,225",6,"1,373",14,"7,323",77,"13,942",1,3,38,"14,635",1,78,2,"5,775",44,"102,192",73,"17,971",266,"8,380","206,625"
100249256,134,"48,906",6,"2,191",50,"12,282",1,610,4,"1,905",40,"3,899",36,"3,314",2,525,7,267,8,"41,735",87,"161,022",59,"10,268",209,"7,393","294,317"
100336595,429,"33,448",29,"5,706",89,"8,495",6,409,16,"1,969",197,"11,739",59,"5,214",35,"9,367",35,"2,360",8,421,47,"24,663",170,"18,389",923,"24,955","147,135"
100418743,41,"3,153",4,"1,238",32,"26,497",,,44,"6,614",68,"3,658",21,"4,496",17,"6,252",12,963,7,"20,020",76,"62,820",31,"5,661",160,"5,731","147,101"
100438679,64,"25,798",,,15,"10,126",1,280,,,55,"18,034",15,"2,583",7,"3,605",,,3,"5,250",37,"75,257",17,"9,492",84,"3,991","154,416"
100485541,10,"6,190",5,"3,217",18,"15,453",1,58,9,"2,150",11,"4,104",,,7,"1,580",3,541,2,"24,700",18,"34,284",42,"46,848",12,"1,106","140,230"
100521336,270,"35,958",158,"67,016",43,"5,254",6,407,21,"4,215",94,"7,943",1,81,22,"8,012",,,1,105,49,"23,593",39,"13,407",378,"13,398","179,389"
100637439,14,"2,460",6,790,3,"1,614",2,0,,,35,"7,317",,,12,"2,177",1,435,6,"1,681",68,"94,588",19,"30,226",17,839,"142,128"
100654492,89,"4,868",17,"9,516",8,"1,829",1,130,9,"3,637",24,940,7,264,9,"1,394",,,19,"40,820",20,"48,855",64,"13,115",243,"13,485","138,854"
100677772,38,"1,355",2,298,3,"9,082",,,3,644,62,"5,882",,,10,"1,883",1,109,2,450,51,"90,303",61,"18,318",38,653,"128,976"
100682602,34,"5,200",3,"1,140",15,"6,796",3,768,42,"27,500",33,"1,832",2,149,12,"1,609",1,530,,,47,"121,071",25,"16,106",31,"1,225","183,926"
100715476,55,"2,767",3,35,14,"6,476",1,"1,400",,,42,"2,117",1,107,24,"12,510",8,644,4,"62,250",16,"26,190",21,"5,862",318,"7,065","127,421"
100744271,138,"5,000",8,"5,925",16,"4,768",1,810,16,"12,046",114,"4,643",12,"1,962",5,"2,784",,,3,"11,178",24,"111,220",26,"7,873",150,"3,267","171,474"
100813718,78,"8,780",3,383,48,"15,242",1,40,2,0,50,"4,765",,,15,"7,777",1,114,21,"94,085",157,"173,840",13,"2,657",40,"1,293","308,976"
100929197,12,"1,306",19,"6,904",9,"1,167",,,29,"19,898",45,"2,248",,,19,"11,444",12,"1,993",1,520,22,"62,635",30,"15,828",101,"4,261","128,203"
100944574,39,"2,277",,,22,"4,705",,,1,159,20,"1,327",,,10,"5,038",,,32,"246,053",27,"21,657",12,"5,809",82,"2,620","289,645"
100960207,45,"12,495",15,"7,995",13,"2,046",2,133,23,"17,694",23,"3,372",4,567,19,"11,799",3,"1,422",2,791,65,"273,459",28,"6,800",50,"3,452","342,024"
100997807,68,"17,680",1,218,44,"14,605",,,20,"8,007",36,"10,822",7,"1,096",22,"11,896",12,"2,173",9,"5,869",31,"53,728",55,"37,214",48,"3,416","166,724"
101005893,105,"5,483",2,0,13,"4,634",,,61,"41,501",43,"2,680",7,"2,903",9,"1,332",1,34,6,"25,028",80,"392,852",13,"7,795",137,"2,643","486,884"
101032831,5,237,,,1,81,,,,,34,"1,842",3,"1,101",,,,,,,30,"174,239",9,"5,937",67,"5,047","188,483"
101044035,101,"34,099",7,"10,610",3,207,,,,,61,"22,175",1,140,7,"4,028",,,,,30,"71,806",27,"54,189",162,"5,358","202,611"
101050493,194,"25,876",7,"6,684",4,"2,364",,,6,"3,097",94,"15,363",8,"6,557",11,"4,646",1,22,1,480,30,"61,109",39,"30,324",160,"4,406","160,928"
101070466,28,"12,868",2,"2,806",26,"41,338",,,11,"9,047",32,"15,198",,,16,"9,799",,,,,43,"41,776",19,"4,578",27,"1,926","139,337"
101096111,49,"2,193",3,"1,436",7,"1,626",,,29,"13,415",17,"3,335",3,"-2,081",27,"7,700",13,"1,876",7,"49,500",55,"51,128",31,"6,364",100,"3,625","140,117"
101111271,84,"14,801",7,"2,429",15,"4,593",,,9,"3,690",91,"10,506",1,16,9,"6,012",1,109,5,"19,580",62,"60,874",15,"15,334",185,"4,255","142,199"
101167848,120,"4,057",1,436,29,"3,665",,,2,445,96,"3,048",12,947,6,"1,194",,,9,"115,000",8,"6,748",20,"2,932",233,"4,939","143,413"
101193181,34,"1,301",4,410,7,"12,822",,,2,723,12,772,,,54,"65,762",41,"28,827",5,"3,709",25,"31,140",20,"9,286",50,"1,961","156,713"
101193441,82,"2,579",13,"2,836",88,"9,369",1,29,19,"3,354",82,"2,331",9,524,72,"16,561",15,948,7,"1,118",139,"83,505",111,"12,470",85,"2,794","138,419"
101209264,279,"25,595",6,"2,718",36,"13,459",4,404,47,"15,218",224,"24,563",169,"15,242",28,"4,916",11,728,4,707,18,"8,504",53,"14,843",306,"7,426","134,321"
101210269,107,"22,786",16,"8,397",20,"39,028",1,185,19,"13,184",54,"11,652",,,13,"6,160",3,"3,328",,,13,"27,041",9,740,153,"8,482","140,983"
101215534,7,78,23,"2,376",48,"18,538",,,,,,,7,"5,119",,,6,296,33,"67,156",47,"23,456",10,"5,338",63,642,"123,000"
101284841,34,"19,327",1,"1,380",4,294,1,36,3,255,48,"23,028",2,300,7,"3,707",3,742,,,14,"30,530",15,"2,131",53,"19,927","101,657"
101292926,56,"11,535",1,"1,180",28,"56,400",1,59,3,"5,142",33,"6,760",3,531,4,"6,077",,,1,700,23,"34,207",22,"6,488",141,"4,153","133,232"
101383691,4,153,15,"15,988",14,"5,313",2,196,13,"32,021",17,"7,765",,,14,"11,848",1,843,1,465,11,"29,732",25,"33,145",3,83,"137,551"
101405713,182,"40,466",12,"2,257",12,"3,541",,,13,"5,671",131,"11,480",1,75,10,"6,041",2,78,1,10,30,"71,406",28,"5,975",202,"15,452","162,452"
101421274,117,"8,517",1,"1,640",6,415,,,4,322,63,"4,245",11,"6,064",34,"153,575",26,"10,103",25,"7,667",4,"1,436",13,"5,550",118,"3,651","203,185"
101436573,77,"6,569",2,445,32,"7,936",2,333,6,"1,824",76,"1,849",,,19,"47,467",,,,,63,"58,589",27,"3,340",274,"5,826","134,177"
101490434,9,117,,,5,174,,,4,224,17,296,,,1,318,,,3,"127,221",3,"4,070",8,848,29,360,"133,628"
101515311,94,"3,626",4,"3,744",13,"4,732",,,29,"11,730",46,"2,204",,,15,"8,694",3,"1,774",1,770,56,"84,304",16,"3,066",189,"6,805","131,449"
101547162,82,"14,331",,,17,"2,024",,,,,21,"2,905",,,9,"47,540",,,,,15,"81,210",23,"5,707",51,"2,036","155,754"
101560315,47,"5,712",21,"8,710",26,"11,214",2,"3,427",26,"28,531",11,782,47,"8,195",5,"3,106",8,"1,069",3,"22,584",23,"29,796",24,"8,705",61,"3,403","135,234"
101564881,,,,,1,"1,610",,,3,614,,,,,,,3,179,15,"121,103",4,"2,645",1,50,1,28,"126,229"
101570167,81,"18,666",,,7,"1,269",,,3,468,161,"34,262",,,4,500,,,8,"1,622",30,"42,723",46,"26,120",88,"3,272","128,902"
101641789,74,"7,179",5,"2,778",37,"18,810",6,"2,399",28,"8,340",45,"4,709",2,"5,650",,,1,14,4,"20,033",27,"39,486",83,"39,195",82,"2,989","151,581"
101676751,72,"2,855",38,"23,696",31,"12,448",2,506,17,"6,282",53,"1,140",3,146,41,"23,725",,,11,"17,903",21,"20,635",43,"13,131",247,"9,080","131,547"
101676841,15,"1,697",4,"1,165",11,"15,231",1,431,18,"5,733",3,940,19,"5,859",39,"30,030",2,"1,251",7,"18,333",35,"62,528",45,"18,334",82,"1,587","163,118"
101701692,23,"3,051",,,4,"4,386",,,1,538,14,"2,105",,,,,,,,,55,"134,359",3,"4,850",16,413,"149,700"
101718897,6,274,10,147,5,145,,,,,,,8,"2,278",6,"6,783",,,,,129,"518,475",5,596,13,401,"529,098"
101765979,272,"10,720",18,"5,370",36,"4,969",6,639,6,420,203,"13,061",32,"3,052",39,"11,419",32,"5,757",8,"8,927",39,"49,905",55,"7,783",677,"13,039","135,059"
101781564,52,"4,797",,,14,"10,261",1,336,13,"11,529",33,"3,082",11,"1,501",15,"17,033",,,8,"58,097",40,"26,584",33,"5,458",206,"7,327","146,006"
101797595,142,"6,223",7,793,12,"9,332",2,268,37,"11,865",115,"5,489",3,276,27,"11,548",14,"1,758",2,"60,320",4,"12,575",12,"2,385",174,"3,830","126,663"
101824171,90,"3,969",5,"5,098",17,"5,361",1,291,27,"7,634",37,"2,429",,,5,837,,,3,"46,285",59,"107,468",34,"11,314",125,"5,494","196,181"
101871853,76,"6,115",36,"1,454",9,"1,839",1,60,1,139,138,"7,418",,,39,"15,087",10,984,6,"21,556",80,"179,715",68,"17,069",77,"2,736","254,172"
101930734,155,"15,004",4,525,25,"261,109",,,18,"3,050",108,"4,563",1,30,76,"25,025",1,80,,,4,"2,061",17,"5,001",114,"2,980","319,426"
101977606,4,633,,,3,"1,112",,,2,704,58,"11,473",24,"23,509",,,,,3,"127,604",1,748,20,"14,193",57,"2,826","182,803"
102048121,262,"27,636",,,13,"2,128",1,28,19,"4,406",55,"4,466",27,"3,142",22,"8,170",7,380,4,"9,553",20,"22,617",38,"33,593",409,"12,056","128,175"
102054041,49,"4,693",5,"1,714",13,"3,472",3,"3,105",7,"2,286",85,"5,048",2,94,4,-729,3,418,3,"70,980",38,"56,423",8,"1,243",107,"4,727","153,475"
102061278,22,"2,465",,,21,"2,739",,,,,96,"12,792",,,,,,,,,11,"99,288",9,"1,745",98,"8,955","127,984"
102085039,84,"5,373",1,"1,350",40,"10,778",4,105,23,"4,320",55,"5,640",9,971,14,"4,996",1,21,3,705,23,"71,447",51,"23,704",242,"5,932","135,343"
102103531,60,"19,029",18,"8,336",26,"13,701",1,118,21,"16,669",133,"15,007",,,19,"13,826",11,"7,776",,,58,"142,428",6,"1,410",122,"2,344","240,643"
102104156,109,"9,062",23,"5,875",42,"19,238",31,"4,675",4,898,138,"12,943",,,24,"5,375",26,"1,880",,,40,"23,158",142,"72,442",156,"6,179","161,724"
102111082,269,"26,661",13,"12,234",56,"16,388",3,184,28,"4,070",250,"29,803",3,148,115,"106,352",14,"3,329",16,"7,237",36,"45,909",42,"27,507",478,"14,291","294,110"
102112767,79,"6,411",1,239,34,"3,821",,,,,254,"19,690",2,244,22,"8,504",2,132,,,240,"129,620",29,"13,915",228,"7,011","189,588"
102118554,71,"6,623",,,24,"29,251",,,9,"1,434",67,"7,539",13,"1,057",3,"1,331",,,,,44,"81,926",35,"11,625",126,"3,285","144,070"
102119139,7,240,6,"3,336",11,"4,205",,,18,"4,549",7,242,14,"3,136",7,"3,344",5,"1,399",10,"46,548",36,"62,539",11,"2,500",41,"2,035","134,072"
102123858,167,"14,305",9,"3,023",17,"1,705",,,58,"18,115",161,"8,684",73,"13,568",48,"19,018",42,"4,064",15,"32,040",10,"12,831",44,"8,377",283,"5,226","140,957"
102137931,88,"5,535",5,"2,269",7,"3,125",1,112,2,309,125,"24,579",20,"1,166",4,"16,658",2,66,1,982,16,"62,050",14,"2,709",254,"4,748","124,308"
102152051,23,"4,346",3,"1,716",18,"10,772",,,21,"23,883",16,"9,863",17,"3,181",20,"12,569",11,"3,453",4,"1,460",58,"87,724",24,"8,922",108,"3,206","171,095"
102195946,120,"6,926",3,"1,042",4,"2,063",,,1,698,76,"5,058",2,594,11,"2,772",,,4,"97,850",23,"15,287",4,"2,840",68,"1,640","136,769"
102222769,7,"1,171",6,996,15,"19,835",,,7,"2,396",50,831,22,"9,588",32,"32,899",16,910,,,63,"61,584",17,"12,127",11,332,"142,667"
102250478,81,"3,131",19,"6,033",20,"1,540",,,59,"14,048",71,"3,320",1,16,19,"8,915",32,"1,631",4,"13,088",25,"67,393",20,"2,631",237,"4,479","126,227"
102257859,2,72,6,"3,903",11,"11,334",,,17,"20,091",2,475,4,"1,674",14,"6,861",2,375,5,"207,500",21,"27,026",18,"8,943",20,"1,256","289,510"
102263254,17,"1,011",,,15,"1,157",6,563,,,7,"1,456",1,159,1,581,1,11,,,55,"126,705",17,"3,888",29,423,"135,955"
102269082,58,"8,640",6,"3,361",20,"6,647",2,"1,506",32,"16,923",45,"8,546",35,"14,505",67,"68,028",21,"13,469",3,"1,541",44,"50,920",40,"11,888",149,"5,080","211,053"
102280825,231,"8,830",10,"9,273",78,"14,473",,,38,"6,212",438,"19,124",,,65,"51,968",21,"4,505",8,"12,410",8,"10,230",44,"16,605",142,"5,178","158,806"
102281243,16,978,,,2,"1,853",,,,,1,60,4,664,3,"42,200",3,210,,,33,"146,050",9,"6,907",65,"1,609","200,531"
102284667,92,"18,368",1,438,28,"9,003",2,288,2,207,32,"5,497",1,"1,000",7,"2,288",,,19,"122,929",15,"70,527",20,"24,259",87,"2,694","257,498"
102301484,190,"8,513",8,"1,094",17,"1,884",2,290,9,"3,487",59,"3,674",126,"21,903",53,"16,685",13,"1,679",4,175,66,"120,106",52,"6,835",399,"6,981","193,306"
102356913,15,"2,673",5,"2,268",19,"3,347",,,41,"13,518",11,"1,362",2,608,94,"81,774",1,106,48,"65,096",,,56,"13,080",51,"2,325","186,156"
102398312,93,"23,865",1,"1,258",15,"4,598",4,"2,854",1,279,62,"15,125",8,"21,227",19,"6,256",5,296,8,"8,676",55,"129,896",38,"30,346",95,"2,362","247,037"
102401989,119,"4,909",1,299,4,862,,,1,139,36,"1,151",,,96,"104,539",,,1,940,5,"5,870",3,602,31,436,"119,746"
102411746,20,"2,159",11,"7,368",4,"10,640",2,259,28,"13,893",17,"2,349",33,"20,719",69,"72,522",11,"5,334",,,32,"41,764",29,"10,631",6,255,"187,892"
102459653,117,"19,218",6,"2,202",25,"3,430",1,300,9,"3,640",54,"16,219",36,"11,084",15,"6,310",1,30,3,"30,190",43,"71,549",33,"5,917",174,"4,398","174,487"
102470324,81,"8,437",25,"9,174",18,"2,601",,,27,"7,859",67,"8,956",13,"2,981",13,"1,964",4,"4,052",3,"2,060",52,"67,887",11,"1,625",103,"3,241","120,836"
102521826,15,"22,413",5,"5,576",12,"7,680",1,38,27,"11,516",13,"4,797",6,"1,644",34,"21,707",4,"1,495",4,"26,722",87,"163,426",28,"17,412",37,"1,438","285,864"
102528492,87,"14,110",10,"6,716",28,"5,454",,,9,"2,020",78,"6,459",4,332,12,"4,622",13,831,25,"337,752",38,"26,938",44,"7,083",113,"5,055","417,369"
102541711,52,"2,676",,,30,"12,598",,,13,"4,260",54,"8,204",24,"5,970",16,"4,703",9,"1,771",,,63,"111,668",27,"6,794",57,"1,175","159,818"
102578841,2,94,,,11,"148,333",,,2,119,,,,,1,192,,,,,,,,,,,"148,737"
102588257,124,"30,876",17,"11,359",30,"18,395",,,70,"31,986",14,"2,778",5,"3,025",35,"19,436",1,254,1,"20,500",38,"61,158",34,"8,599",155,"3,079","211,445"
102647771,1,45,4,"2,465",20,"11,416",,,51,"37,830",,,22,"6,305",13,"6,197",6,532,,,44,"73,999",3,332,13,514,"139,634"
102657839,81,"19,348",13,"6,030",7,"2,006",4,"1,925",12,"9,794",7,"1,012",,,52,"31,593",10,406,3,832,28,"35,768",70,"8,266",225,"6,743","123,725"
102658006,2,105,11,"2,885",8,708,,,87,"40,514",2,67,1,900,52,"37,335",5,600,3,88,73,"43,202",19,"6,795",23,"2,161","135,360"
102671425,80,"8,143",3,"1,292",21,"5,238",,,10,"4,223",133,"24,265",8,"3,762",13,"10,771",2,458,5,468,83,"94,163",38,"3,757",310,"8,536","165,077"
102705083,77,"15,660",21,"9,981",38,"22,958",,,4,464,55,"3,383",16,"8,984",28,"12,614",4,163,13,"50,108",,,74,"13,898",171,"4,626","142,838"
102706335,35,"1,094",,,22,"25,533",1,25,7,"3,603",32,"1,191",7,456,28,"2,289",11,"1,806",7,"60,474",39,"15,711",33,"5,930",206,"5,263","123,373"
102729581,11,518,,,4,"3,904",,,,,9,663,4,206,1,200,,,1,"84,254",26,"56,599",,,69,"2,278","148,622"
102741046,63,"3,174",8,"1,586",28,"19,128",,,7,"3,893",43,"4,299",1,278,12,"5,205",,,1,"70,800",16,"22,230",10,672,164,"5,078","136,343"
102748771,193,"23,480",10,"2,002",21,"17,106",2,358,17,"5,273",151,"14,347",2,640,13,"3,518",3,385,4,690,16,"35,363",64,"17,320",241,"3,649","124,130"
102779402,2,16,,,,,,,,,2,9,,,,,,,,,249,"719,331",,,116,"20,517","739,873"
102870605,33,"3,621",3,224,3,563,,,13,"9,121",26,"2,976",3,695,2,699,1,14,3,"1,595",53,"122,128",24,"5,793",83,"3,271","150,700"
102872316,43,"6,694",1,25,15,"2,161",1,122,20,"18,513",74,"9,708",26,"8,540",2,138,,,,,28,"98,311",17,"13,388",66,"1,261","158,861"
102893205,24,"1,711",2,"1,300",8,"2,061",1,17,17,"4,867",39,"1,673",,,45,"100,346",2,221,1,"23,250",12,"9,860",26,"14,151",105,"2,285","161,742"
102916857,11,"3,649",5,"2,176",11,"1,735",,,15,"12,000",4,"2,082",,,36,"34,307",3,967,,,21,"63,002",27,"8,142",45,"2,886","130,945"
102950325,6,381,1,390,,,,,,,10,"1,248",,,,,,,,,62,"241,630",1,"2,295",7,374,"246,318"
102999603,92,"7,353",8,"4,309",4,197,,,50,"10,803",147,"11,413",1,18,17,"18,895",6,380,2,327,44,"71,936",41,"8,890",166,"3,171","137,692"
103032533,120,"12,997",4,922,31,"13,852",4,204,37,"11,823",82,"7,299",11,"6,830",19,"8,181",3,734,,,57,"100,498",45,"10,388",157,"3,093","176,820"
103059809,20,641,5,"1,735",17,"5,958",,,31,"8,087",9,231,10,"2,278",40,"7,511",5,262,16,"31,609",60,"63,119",30,"3,904",50,"1,320","126,654"
103069033,,,,,12,"236,768",,,9,"23,570",2,302,,,,,,,,,,,9,"3,730",1,55,"264,425"
103071647,219,"22,122",8,"2,898",49,"51,223",9,561,42,"15,024",197,"28,585",141,"24,874",75,"37,115",6,"3,100",4,564,40,"40,253",54,"16,802",469,"13,500","256,621"
103078272,31,"3,538",1,"1,190",61,"168,618",2,359,,,24,"21,019",3,937,7,"4,739",,,,,11,"8,716",28,"7,136",32,"1,040","217,291"
103086002,201,"36,630",10,"7,525",24,"11,678",2,270,38,"19,612",196,"33,213",33,"12,814",33,"44,368",34,"38,576",4,"1,572",51,"139,668",60,"15,746",538,"21,060","382,733"
103094786,1,85,14,"19,205",9,"7,693",,,1,76,2,125,5,672,19,"32,000",,,17,"242,250",8,"16,480",6,"3,846",6,411,"322,843"
103134921,46,"8,624",7,"1,823",35,"20,924",3,180,11,"11,309",37,"6,264",28,"9,471",6,"1,482",,,2,649,9,"56,750",24,"13,410",48,"1,032","131,918"
103168611,35,"7,132",,,2,500,,,9,913,42,"8,076",2,292,20,"24,550",8,"2,137",3,"54,074",33,"56,306",20,"9,007",79,"1,822","164,807"
103169211,9,906,7,"2,777",1,"2,089",,,22,"5,575",23,"5,538",13,"1,132",36,"13,667",103,"103,604",1,129,9,"9,302",15,"3,495",50,"1,932","150,145"
103198408,73,"10,961",,,56,"67,171",,,27,"5,239",57,"223,375",26,"7,228",28,"34,380",7,"1,536",8,"7,596",14,"12,530",33,"16,211",216,"6,269","392,496"
103217707,142,"7,363",1,289,12,"1,617",,,9,782,30,"1,042",5,181,37,"4,952",3,"1,714",5,"54,080",52,"65,210",52,"2,720",258,"4,595","144,545"
103242676,62,"1,767",7,"2,609",10,"8,198",,,14,"2,074",36,890,11,"3,615",61,"110,385",9,"1,085",5,"14,705",9,"15,430",27,"4,681",89,"1,405","166,843"
103245996,171,"6,260",2,847,25,"8,277",5,"1,430",3,"3,789",33,785,3,111,32,"18,744",3,816,,,28,"92,602",1,20,149,"4,178","137,859"
103249875,50,"4,268",8,865,8,"1,234",,,7,"2,639",21,"2,441",,,99,"29,873",13,"1,806",13,"15,208",39,"149,271",18,"7,641",80,"3,411","218,658"
103265683,196,"13,522",9,"2,957",42,"2,642",14,278,56,"4,659",108,"8,157",33,"2,828",91,"21,182",16,980,4,504,106,"70,015",58,"4,492",527,"7,751","139,967"
103265841,74,"8,799",3,"1,264",15,"5,944",1,292,2,"1,400",53,"18,416",11,251,9,"2,959",1,10,8,"81,650",20,"45,280",32,"7,509",119,"5,020","178,794"
103266725,68,"14,722",4,"2,618",24,"6,312",,,9,"11,818",19,"3,030",24,"3,154",24,"16,198",1,312,,,62,"199,554",47,"22,839",145,"5,787","286,342"
103274396,49,"6,576",14,"4,676",38,"32,792",1,990,75,"24,530",23,"1,174",2,396,18,"15,543",4,306,12,"79,778",19,"16,740",40,"5,111",57,"2,339","190,950"
103285719,43,"4,137",1,7,4,870,1,60,,,77,"5,587",1,659,5,"3,950",,,9,"100,987",9,"14,051",5,814,164,"5,048","136,170"
103321454,146,"9,882",9,"2,445",15,"5,705",,,1,17,92,"7,349",1,8,5,671,,,,,60,"120,311",16,"2,707",187,"2,506","151,601"
103418836,18,"1,425",,,6,"1,799",,,7,"3,155",25,"1,209",4,"1,802",1,434,,,6,"102,500",6,"6,069",10,"7,415",144,"4,031","129,840"
103424441,6,227,6,"4,718",14,"10,590",13,"3,098",9,"5,230",8,790,5,972,10,"5,072",,,5,"45,758",25,"61,800",12,"3,877",13,457,"142,588"
103442205,46,"19,734",,,18,"66,093",,,20,"13,693",35,"30,237",5,"4,566",34,"47,982",,,3,"22,000",11,"32,972",28,"21,212",37,"1,730","260,219"
103449291,9,"1,422",2,"1,713",1,"1,890",,,8,"7,954",6,684,4,"1,556",12,"5,381",1,126,,,34,"137,248",1,188,9,144,"158,306"
103458421,42,"31,277",,,20,"41,611",1,8,5,"2,146",21,"4,226",,,4,"1,746",9,"2,933",4,"68,693",17,"35,262",23,"14,731",28,"1,559","204,192"
103489685,98,"9,504",3,"1,521",21,"4,761",4,860,70,"28,667",84,"7,510",8,"1,551",12,"1,355",2,29,2,"15,010",47,"57,472",41,"10,217",151,"4,624","143,080"
103500373,32,"12,431",8,"6,374",16,"6,649",1,42,30,"10,633",58,"4,943",43,"4,846",57,"20,164",16,"2,069",21,"45,900",5,"4,678",14,"2,984",144,"3,884","125,596"
103536637,102,"10,367",20,"7,507",62,"11,710",8,"1,299",78,"19,494",44,"4,069",10,"1,030",45,"11,061",42,"6,084",15,"66,499",58,"58,710",54,"11,803",365,"11,144","220,777"
103555856,63,"8,442",4,"3,018",48,"48,453",6,398,2,926,72,"13,404",3,"1,464",9,"3,386",5,11,3,780,32,"52,146",40,"11,389",183,"7,640","151,457"
103582441,76,"9,425",12,"4,056",31,"42,119",,,8,"6,031",38,"8,454",13,"5,023",1,349,3,426,1,115,49,"59,081",8,"2,215",87,"2,920","140,213"
103585631,53,"10,443",9,"1,855",16,"2,319",,,11,"3,429",57,"4,274",,,34,"15,871",,,1,99,21,"81,348",28,"17,361",179,"3,801","140,800"
103606587,129,"7,070",26,"16,553",15,"12,691",5,251,22,"12,098",47,"194,300",26,"9,075",24,"27,847",12,"2,292",13,"42,484",55,"94,130",24,"16,318",284,"4,390","439,499"
103610243,42,"4,045",12,"9,581",19,"10,914",,,14,"2,118",24,"1,808",31,"17,675",24,"42,948",7,577,8,"14,634",8,"10,628",31,"13,978",119,"2,482","131,387"
103644511,9,947,,,,,1,110,2,766,16,"4,317",,,8,"2,917",,,7,"127,055",15,"46,798",2,306,10,275,"183,491"
103657849,4,796,,,2,200,,,8,"6,920",11,"73,038",1,35,10,"7,638",1,329,1,"15,150",10,"33,119",17,"6,529",23,"1,063","144,817"
103699809,7,757,5,"2,680",1,52,,,15,"6,282",2,205,5,"2,002",19,"12,482",3,782,5,"20,145",23,"91,285",29,"11,372",19,767,"148,811"
103706481,239,"22,779",5,"1,229",14,"3,154",1,100,18,"2,294",193,"22,157",6,715,29,"12,219",14,"1,540",,,34,"37,944",27,"3,110",202,"15,701","122,940"
103721451,27,"3,203",8,"4,034",21,"7,962",,,18,"10,305",27,"4,642",38,"5,689",33,"18,329",3,"1,715",1,"12,900",61,"74,506",21,"3,614",44,"1,084","147,982"
103731611,127,"9,551",9,"5,799",53,"10,237",1,25,40,"8,376",68,"5,989",112,"8,610",67,"33,000",13,"2,171",4,"1,470",24,"28,879",42,"9,594",133,"3,121","126,821"
103763645,142,"4,724",8,"4,455",43,"7,787",,,30,"3,281",40,"1,224",68,"7,799",16,"10,142",27,"1,650",2,"72,898",29,"27,273",52,"9,009",119,"2,640","152,882"
103804039,168,"27,800",11,"3,277",24,"18,745",5,"1,219",33,"4,021",79,"11,854",66,"20,080",47,"19,960",58,"13,721",13,"55,707",28,"23,050",75,"15,492",252,"8,702","223,627"
103848301,93,"8,695",24,"8,077",24,"38,739",,,18,"9,559",92,"5,348",12,"1,710",18,"4,883",2,56,1,250,23,"52,301",16,"4,697",150,"3,678","137,993"
103862061,74,"18,876",27,544,7,807,,,11,"26,226",92,"81,240",,,,,,,,,8,"26,631",11,"3,149",95,"3,591","161,064"
103863115,73,"5,450",1,16,9,965,,,,,30,"1,739",3,140,7,"2,761",,,2,"1,453",20,"101,484",30,"15,552",20,698,"130,257"
103890133,40,"33,329",2,"3,685",3,"2,057",,,16,"22,390",44,"13,075",11,"6,769",3,"3,297",,,14,"46,569",20,"72,215",5,"6,531",17,672,"210,589"
103906181,28,"2,455",,,8,"4,629",1,43,1,538,18,"3,806",7,"1,327",1,"4,410",,,3,"44,622",32,"70,910",32,"19,943",94,"1,649","154,331"
103972818,23,"1,164",4,"3,837",37,"79,049",1,382,31,"8,671",10,793,28,"3,876",11,"2,714",19,"1,893",3,"6,020",14,"13,320",29,"7,663",119,"3,577","132,959"
103988548,33,"1,094",,,12,"14,733",,,7,"1,748",9,332,,,3,798,10,931,,,50,"207,008",32,"12,193",80,"3,498","242,335"
103993867,30,"2,505",6,"2,298",27,"16,603",,,5,"1,296",16,"2,505",,,91,"115,570",9,"2,168",1,270,4,0,36,"6,500",51,"3,605","153,318"
104006911,16,717,32,"7,482",15,"1,033",1,290,19,"3,078",27,"1,261",48,"12,156",15,"14,866",25,"4,542",10,"62,114",25,"28,646",17,"2,882",57,"1,991","141,057"
