cust_id,°¡°ø½ÄÇ°,°¡°ø½ÄÇ°2,³²¼ºÆÐ¼Ç,³²¼ºÆÐ¼Ç2,¸®ºù,¸®ºù2,¸®ºùÄÁÅÙÃ÷,¸®ºùÄÁÅÙÃ÷2,½ºÆ÷Ã÷ÆÀ,½ºÆ÷Ã÷ÆÀ2,½Å¼±½ÄÇ°,½Å¼±½ÄÇ°2,¾Æµ¿/Å×³ÍÆ®,¾Æµ¿/Å×³ÍÆ®2,¿©¼ºÆÐ¼Ç,¿©¼ºÆÐ¼Ç2,¿µÆÐ¼Ç,¿µÆÐ¼Ç2,¿ÍÄ¡ÁÖ¾ó¸®ÆÀ,¿ÍÄ¡ÁÖ¾ó¸®ÆÀ2,ÇØ¿Ü¸íÇ°ÆÀ,ÇØ¿Ü¸íÇ°ÆÀ2,"ÇØ¿ÜºäÆ¼,ACCÆÀ","ÇØ¿ÜºäÆ¼,ACCÆÀ2",F&B,F&B2,¸ÅÃâÇÕ°è
727981007,35,"12,012",18,"13,476",23,"9,790",1,32,46,"41,614",13,"2,633",7,"4,495",62,"39,219",23,"11,890",12,"16,874",48,"74,021",27,"30,289",57,"2,821","259,165"
727983311,24,"3,544",15,"21,939",4,"1,029",,,15,"11,510",37,"6,435",1,50,28,"38,701",3,521,7,"46,909",4,"10,155",26,"12,055",59,861,"153,708"
727998935,8,178,1,477,10,"2,434",,,142,"118,739",9,267,7,"1,462",1,718,5,225,1,365,2,"2,430",18,"1,497",37,730,"129,522"
728028261,29,957,2,532,2,94,,,2,211,12,719,2,6,6,925,2,391,2,"1,108",39,"114,258",3,349,54,809,"120,359"
728039573,27,"4,832",12,"10,338",10,"2,592",1,58,32,"13,564",11,"2,677",4,"1,323",26,"26,139",9,"2,330",,,33,"55,287",26,"11,433",9,256,"130,826"
728098989,17,307,7,"20,580",25,"32,686",,,35,"7,907",17,435,19,"5,758",22,"55,013",29,"3,708",5,"18,527",1,"1,728",10,"1,649",89,"1,965","150,263"
728129731,32,"2,074",6,"4,230",4,"25,109",,,23,"6,198",35,"14,464",22,"16,045",15,"12,098",1,68,1,358,31,"75,224",9,"4,371",79,"2,256","162,494"
728162546,10,917,4,"2,053",3,376,,,4,"2,796",7,181,,,9,"9,612",,,5,"24,887",21,"104,136",5,"2,471",35,663,"148,093"
728168948,81,"6,819",,,17,"9,772",,,7,"1,679",42,"5,203",8,"2,738",36,"28,869",8,"1,516",1,620,33,"54,780",36,"19,412",52,"1,299","132,706"
728199981,86,"9,916",33,"16,233",36,"9,198",,,51,"6,356",90,"9,626",43,"2,535",59,"40,887",8,"3,424",3,"5,950",13,"10,072",115,"26,123",296,"8,726","149,046"
728244068,69,"3,013",4,255,19,"8,873",1,54,2,401,15,"1,151",16,"5,530",6,"3,079",4,716,2,344,94,"128,307",16,"1,556",140,"3,757","157,035"
728322638,8,170,,,29,"63,763",,,10,"2,118",4,88,24,"3,407",6,"3,616",24,"6,224",2,"3,920",19,"45,615",39,"13,749",93,"2,100","144,770"
728340458,24,"2,219",2,154,5,"6,389",,,5,"5,006",9,"1,183",6,"1,341",20,"11,766",,,6,"69,270",39,"114,104",43,"7,225",16,625,"219,282"
728380278,13,"1,227",9,"3,304",3,109,,,2,152,3,71,,,31,"151,961",1,20,,,,,7,"1,807",5,117,"158,767"
